,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
71,71,50,0.5700000000000001,0,1,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,50,0.5700000000000001,1,0,1,0,1,1,0.9,1,1,0,63421.5875,0,75504.9079,75504.9079,1.6901794326696666,144552.5415,0,65675.1972,0.0,7.098909572603822,7.098909572603822,0.0,6.47619820658594,6.47619820658594,2072.0,2072.0,4.5401,4.5401,9.8568,8.9921,10770.7285,59723.9633,20233.4895,154149.7688,0,11806.3755,59723.9633,25439.3685,172474.6152,0
73,73,50,0.5700000000000001,1,0,1,0,1,0,0.9,1,1,0,43038.7424,0,51281.317,51281.317,1.665363454553441,100167.2636,0,48917.149,0.0,4.927469977439651,4.927469977439651,0.0,4.4952357688923135,4.4952357688923135,2057.0,2057.0,4.6099,4.6099,9.8402,8.977,7510.7001,41248.0006,13860.1056,105657.5487,0,8232.8828,41248.0006,17411.5948,118173.7952,0
74,74,50,0.5700000000000001,1,0,1,0,0,1,0.9,1,1,0,20448.6907,0,24289.6053,24289.6053,1.7456351148738602,44385.2778,0,20947.0233,0.0,2.1547195086969286,2.1547195086969286,0.0,1.965709025477899,1.965709025477899,2072.0,2072.0,4.0785,4.0785,9.9712,9.0966,3242.7868,18475.9627,6308.4412,48475.8815,0,3554.5932,18475.9627,7962.7491,54282.9103,0
75,75,50,0.5700000000000001,1,0,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,50,0.5700000000000001,1,0,0,1,1,1,0.9,1,1,0,35245.4722,0,43937.1054,43937.1054,0.9259782364503351,145966.8301,0,313214.4541,0.0,5.920676940771902,5.920676940771902,0.0,5.4013193143884,5.4013193143884,2039.0,2039.0,10.1845,10.1845,11.9339,10.8871,26338.8387,60278.9315,8325.1481,131675.2899,1486.8994,28871.4193,60278.9315,11879.9368,146454.2924,1486.8994
77,77,50,0.5700000000000001,1,0,0,1,1,0,0.9,1,1,0,22261.2294,0,28050.4467,28050.4467,0.8691797105422681,98295.0374,0,211996.7135,0.0,3.7855617915024014,3.7855617915024014,0.0,3.4534949676864,3.4534949676864,2038.0,2038.0,9.9745,9.9745,12.569,11.4665,17002.2636,40388.1031,4726.3706,85622.3599,1244.3932,18637.0966,40388.1031,7053.9835,95374.023,1244.3932
78,78,50,0.5700000000000001,1,0,0,1,0,1,0.9,1,1,0,13050.7124,0,15970.1566,15970.1566,1.0373510794844873,47671.7927,0,105406.7157,0.0,2.090822987394,2.090822987394,0.0,1.9074174621840003,1.9074174621840003,2039.0,2039.0,9.8295,9.8295,11.0368,10.0687,8998.4416,19890.8284,3450.623,45746.2383,355.6329,9863.6763,19890.8284,4663.7937,50744.088,355.6329
79,79,50,0.5700000000000001,1,0,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,50,0.5700000000000001,0,1,1,0,1,1,0.9,1,1,0,64737.7906,0,73417.664,73417.664,2.882353314870385,94775.9959,0,86579.061,0.0,6.89123825000527,6.89123825000527,0.0,6.286743666671474,6.286743666671474,2052.0,2052.0,4.8522,4.8522,6.6574,6.0734,8699.2489,35143.9431,24162.294,132743.2765,0,9535.7151,35143.9431,27879.7609,145977.0831,0
