,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b
46,46,25,2.5,700,484,0,349006.694,0,59325.7432,59325.7432,1.4364960578745432,316409.8722,0,605011.6362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.4626,7.4626,3.9028,1.8733
47,47,30,2.5,700,484,0,349006.694,0,125926.7329,125926.7329,2.903573263314124,316409.8722,0,605011.6362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.4626,7.4626,3.9028,1.8733
48,48,35,2.5,700,484,0,349006.694,0,192032.713,192032.713,4.370650468753704,316409.8722,0,605011.6362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.4626,7.4626,3.9028,1.8733
49,49,40,2.5,700,484,0,349006.694,0,258085.2704,258085.2704,5.837727674193288,316409.8722,0,605011.6362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.4626,7.4626,3.9028,1.8733
50,50,45,2.5,700,484,0,349006.694,0,324112.2671,324112.2671,7.304804879632868,316409.8722,0,605011.6362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.4626,7.4626,3.9028,1.8733
51,51,50,2.5,700,484,0,349006.694,0,390098.9154,390098.9154,8.771882085072448,316409.8722,0,605011.6362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.4626,7.4626,3.9028,1.8733
52,52,55,2.5,700,484,0,349006.694,0,456085.5637,456085.5637,10.238959290512032,316409.8722,0,605011.6362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.4626,7.4626,3.9028,1.8733
53,53,60,2.5,700,484,0,349006.694,0,522072.212,522072.212,11.706036495951613,316409.8722,0,605011.6362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.4626,7.4626,3.9028,1.8733
54,54,20,2.5,1200,184,0,355153.8128,0,-2238.9369,-2238.9369,0.10600170728003735,316409.8722,0,577496.132,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.1232,7.1232,3.9028,1.8733
55,55,25,2.5,1200,184,0,355153.8128,0,65577.2229,65577.2229,1.5730789127196179,316409.8722,0,577496.132,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.1232,7.1232,3.9028,1.8733
56,56,30,2.5,1200,184,0,355153.8128,0,132107.472,132107.472,3.040156118159199,316409.8722,0,577496.132,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.1232,7.1232,3.9028,1.8733
57,57,35,2.5,1200,184,0,355153.8128,0,198194.365,198194.365,4.50723332359878,316409.8722,0,577496.132,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.1232,7.1232,3.9028,1.8733
58,58,40,2.5,1200,184,0,355153.8128,0,264246.9224,264246.9224,5.974310529038363,316409.8722,0,577496.132,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.1232,7.1232,3.9028,1.8733
59,59,45,2.5,1200,184,0,355153.8128,0,330259.3858,330259.3858,7.441387734477941,316409.8722,0,577496.132,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.1232,7.1232,3.9028,1.8733
60,60,50,2.5,1200,184,0,355153.8128,0,396246.0341,396246.0341,8.908464939917524,316409.8722,0,577496.132,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.1232,7.1232,3.9028,1.8733
61,61,55,2.5,1200,184,0,355153.8128,0,462232.6824,462232.6824,10.37554214535711,316409.8722,0,577496.132,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.1232,7.1232,3.9028,1.8733
62,62,60,2.5,1200,184,0,355153.8128,0,528219.3307,528219.3307,11.842619350796687,316409.8722,0,577496.132,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.1232,7.1232,3.9028,1.8733
63,63,20,2.5,1200,244,0,347013.9137,0,-11181.551,-11181.551,0.0,316409.8722,0,611665.2321,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.5446,7.5446,3.9028,1.8733
64,64,25,2.5,1200,244,0,347013.9137,0,57201.6563,57201.6563,1.392289120368548,316409.8722,0,611665.2321,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.5446,7.5446,3.9028,1.8733
65,65,30,2.5,1200,244,0,347013.9137,0,123894.3821,123894.3821,2.8593663258081286,316409.8722,0,611665.2321,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.5446,7.5446,3.9028,1.8733
