,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
59,59,40,0,0.555,1,0,1,1,0,0,0,1,0,0,27.786240729590897,0,12772.7549,0,0,0,0.0,27623.8908,0,22518.515,0.0,1.246493864875,1.246493864875
60,60,40,0,0.555,1,0,1,1,0,0,0,0,1,1,26.985429508269075,0,33032.8246,0,0,0,1.0359093284428886e-09,74244.5398,0,37540.4718,0.0,2.8906559320000005,2.8906559320000005
61,61,40,0,0.555,1,0,1,1,0,0,0,0,1,0,25.753426086262778,0,15194.2112,0,0,0,3.4078040013250265e-09,32131.587,0,11658.6586,0.0,1.302272221425,1.302272221425
62,62,40,0,0.555,1,0,1,1,0,0,0,0,0,1,27.85322192541936,0,17883.313,0,0,0,0.0,42112.9528,0,25881.8132,0.0,1.6208092969750008,1.6208092969750008
63,63,40,0,0.555,1,0,1,1,0,0,0,0,0,0,40.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
64,64,40,0,0.555,1,0,1,0,1,1,1,1,1,1,22.870793782907928,0,79125.4133,0,0,0,7.958731252677522e-10,133981.4573,0,21069.7163,0.0,5.946991862600001,5.946991862600001
65,65,40,0,0.555,1,0,1,0,1,1,1,1,1,0,23.0974482680126,0,66729.9403,0,0,0,0.0,115190.2605,0,19425.2265,0.0,5.1030228861125035,5.1030228861125035
66,66,40,0,0.555,1,0,1,0,1,1,1,1,0,1,22.933112148030325,0,64625.301,0,0,0,0.0,109859.1402,0,17870.8169,0.0,4.874645628087501,4.874645628087501
67,67,40,0,0.555,1,0,1,0,1,1,1,1,0,0,23.234333714802517,0,52229.828,0,0,0,5.408919417946648e-11,91067.9433,0,16226.327,0.0,4.030676651599999,4.030676651599999
68,68,40,0,0.555,1,0,1,0,1,1,1,0,1,1,22.84420308317397,0,74562.7264,0,0,0,9.189147774816554e-10,125982.049,0,19646.0617,0.0,5.603438485799998,5.603438485799998
69,69,40,0,0.555,1,0,1,0,1,1,1,0,1,0,23.082653087248705,0,62167.2534,0,0,0,9.486835413063673e-10,107190.8522,0,18001.5718,0.0,4.759469509312499,4.759469509312499
70,70,40,0,0.555,1,0,1,0,1,1,1,0,0,1,22.904987847510284,0,60062.6141,0,0,0,0.0,101859.7318,0,16447.1622,0.0,4.5310922512875,4.5310922512875
71,71,40,0,0.555,1,0,1,0,1,1,1,0,0,0,23.22822639998725,0,47667.1411,0,0,0,0.0,83068.535,0,14802.6724,0.0,3.6871232748,3.6871232748
72,72,40,0,0.555,1,0,1,0,1,1,0,1,1,1,22.660137368363042,0,58306.9916,0,0,0,1.0315474980975146e-09,97781.0686,0,13248.2097,0.0,4.332776310650001,4.332776310650001
73,73,40,0,0.555,1,0,1,0,1,1,0,1,1,0,22.93875335668804,0,45911.5186,0,0,0,0.0,78989.8718,0,11603.7199,0.0,3.4888073341625003,3.4888073341625003
74,74,40,0,0.555,1,0,1,0,1,1,0,1,0,1,22.683616967616544,0,43806.8794,0,0,0,7.646117340319988e-10,73658.7515,0,10049.3103,0.0,3.2604300761375007,3.2604300761375007
75,75,40,0,0.555,1,0,1,0,1,1,0,1,0,0,23.09600179684849,0,31411.4064,0,0,0,0.0,54867.5547,0,8404.8204,0.0,2.4164610996500016,2.4164610996500016
76,76,40,0,0.555,1,0,1,0,1,1,0,0,1,1,22.604500698289606,0,53744.3048,0,0,0,0.0,89781.6603,0,11824.5551,0.0,3.98922293385,3.98922293385
77,77,40,0,0.555,1,0,1,0,1,1,0,0,1,0,22.89867248700795,0,41348.8318,0,0,0,0.0,70990.4635,0,10180.0653,0.0,3.1452539573625002,3.1452539573625002
78,78,40,0,0.555,1,0,1,0,1,1,0,0,0,1,22.61024730527541,0,39244.1925,0,0,0,0.0,65659.3432,0,8625.6557,0.0,2.9168766993375,2.9168766993375
79,79,40,0,0.555,1,0,1,0,1,1,0,0,0,0,23.061582326557687,0,26848.7195,0,0,0,0.0,46868.1463,0,6981.1658,0.0,2.07290772285,2.07290772285
80,80,40,0,0.555,1,0,1,0,1,0,1,1,1,1,22.691478336904506,0,63674.1019,0,0,0,9.193360734033466e-10,105913.8295,0,16361.4316,0.0,4.721144797387502,4.721144797387502
81,81,40,0,0.555,1,0,1,0,1,0,1,1,1,0,22.94816062725281,0,51278.6289,0,0,0,0.0,87122.6327,0,14716.9418,0.0,3.877175820900001,3.877175820900001
