,ID,D,E_Brent,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
155,155,1,30,0.155,0,0,1,0,0,0,8418.0527,0,-73180.6994,-73180.6994,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
156,156,1,35,0.155,0,0,1,0,0,0,8418.0527,0,-53899.5549,-53899.5549,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
157,157,1,40,0.155,0,0,1,0,0,0,8418.0527,0,-34290.791,-34290.791,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
158,158,1,45,0.155,0,0,1,0,0,0,8418.0527,0,-14463.0832,-14463.0832,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
159,159,1,50,0.155,0,0,1,0,0,0,8418.0527,0,5500.5218,5500.5218,0.04629796097166472,370746.688,209877.2954,744773.1017,26.87694643199999
160,160,1,55,0.155,0,0,1,0,0,0,8418.0527,0,25548.4726,25548.4726,0.21504181223049929,370746.688,209877.2954,744773.1017,26.87694643199999
161,161,1,60,0.155,0,0,1,0,0,0,8418.0527,0,45543.9707,45543.9707,0.38334416873384203,370746.688,209877.2954,744773.1017,26.87694643199999
162,162,1,20,0.25,0,0,1,0,0,0,3058.7466,0,-113951.5158,-113951.5158,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
163,163,1,25,0.25,0,0,1,0,0,0,3058.7466,0,-96259.0284,-96259.0284,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
164,164,1,30,0.25,0,0,1,0,0,0,3058.7466,0,-77844.5505,-77844.5505,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
165,165,1,35,0.25,0,0,1,0,0,0,3058.7466,0,-58789.8807,-58789.8807,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
166,166,1,40,0.25,0,0,1,0,0,0,3058.7466,0,-39362.3319,-39362.3319,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
167,167,1,45,0.25,0,0,1,0,0,0,3058.7466,0,-19688.9471,-19688.9471,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
168,168,1,50,0.25,0,0,1,0,0,0,3058.7466,0,154.1692,154.1692,0.0012976437479107397,370746.688,209877.2954,803364.0268,26.87694643199999
169,169,1,55,0.25,0,0,1,0,0,0,3058.7466,0,19974.8389,19974.8389,0.16812846783513247,370746.688,209877.2954,803364.0268,26.87694643199999
170,170,1,60,0.25,0,0,1,0,0,0,3058.7466,0,40031.5447,40031.5447,0.3369460107963048,370746.688,209877.2954,803364.0268,26.87694643199999
