company,trabajo,Arena,riesgo,Escenario,estado,variable, valores ,Valor_MUSD
OXY,IV,AYB,BR,E4,Capex,WO,0,0
OXY,IV,AYB,BR,E4,Capex,Perforacion_productores,408130448,40.81
OXY,IV,AYB,BR,E4,Capex,Perforacion_Inyectores,329591385,32.96
OXY,IV,AYB,BR,E4,Capex,Facilidades,21756352,2.18
OXY,IV,AYB,BR,E4,Capex,VPN_Portafolio,-92384.92,-92.38
OXY,IV,AYB,BR,E4,Opex,Opex_Total,837942606,838
OXY,IV,AYB,BR,E4,Opex,Oil,329157,0.03
OXY,IV,AYB,BR,E4,Opex,Fluido,53709043,5.37
OXY,IV,AYB,BR,E4,Opex,Gas,0,0
OXY,IV,AYB,BR,E4,Opex,inyeccion_agua,177406558,17.74
OXY,IV,AYB,BR,E4,Opex,pozo_prod,436106200,43.61
OXY,IV,AYB,BR,E4,Opex,Pozo_iny,170391648,17.04
OXY,WO,C,BR,WO_BR,n_pozo,#_pozo,352,352
OXY,Perf,C,BR,Perforacion_BR,n_pozo,#_pozo,89,89
OXY,WO,C,AR,WO_AR,n_pozo,#_pozo,247,247
OXY,Perf,C,AR,Perforacion_AR,n_pozo,#_pozo,284,284
OXY,CEOR,C,BR,CEOR,n_pozo,#_pozo,408,408
OXY,I,AYB,BR,E1,n_pozo,#_pozo,138,138
OXY,II,AYB,BR,E2,n_pozo,#_pozo,289,289
OXY,III,AYB,BR,E3,n_pozo,#_pozo,859,859
OXY,IV,AYB,BR,E4,n_pozo,#_pozo,562,562
OXY,WO,C,BR,WO_BR,Vol,Vol,4.73,4.73
OXY,Perf,C,BR,Perforacion_BR,Vol,Vol,4.14,4.14
OXY,WO,C,AR,WO_AR,Vol,Vol,6.06,6.06
OXY,Perf,C,AR,Perforacion_AR,Vol,Vol,8.76,8.76
OXY,CEOR,C,BR,CEOR,Vol,Vol,35.72,35.72
OXY,I,AYB,BR,E1,Vol,Vol,27.62,27.62
OXY,II,AYB,BR,E2,Vol,Vol,9.83,9.83
OXY,III,AYB,BR,E3,Vol,Vol,25.50,25.50
OXY,IV,AYB,BR,E4,Vol,Vol,12.89,12.89
