,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
34,34,55,0.4099999999999999,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,60,0.4099999999999999,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,20,0.48,0,1,0,1,1,1,0,-28066.3425,0,-100853.9718,-100853.9718,0.0,307102.9882,0,626053.7114,0.0,3.3351128968799992,3.3351128968799992,0.0,6.2250007199679995,6.2250007199679995,2041.0,2030.0,15.3001,9.3651,23.6013,44.0519,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,17309.5375,100534.8423,0,24691.7434,7701.3354
37,37,25,0.48,0,1,0,1,1,1,0,-28066.3425,0,-89102.1145,-89102.1145,0.0,307102.9882,0,626053.7114,0.0,4.499865104607999,4.499865104607999,0.0,6.2250007199679995,6.2250007199679995,2041.0,2033.0,15.3001,10.8436,23.6013,32.6494,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,23707.9937,100534.8423,0,40926.8488,5786.1273
38,38,30,0.48,0,1,0,1,1,1,0,-28066.3425,0,-77110.7874,-77110.7874,0.0,307102.9882,0,626053.7114,0.0,5.078642999967999,5.078642999967999,0.0,6.2250007199679995,6.2250007199679995,2041.0,2035.0,15.3001,11.909,23.6013,28.9286,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,27057.0377,100534.8423,0,55263.0161,4781.9234
39,39,35,0.46499999999999997,0,1,0,1,1,1,0,-28066.3425,0,-66020.0854,-66020.0854,0.0,307102.9882,0,626053.7114,0.0,5.371837378722999,5.371837378722999,0.0,6.2250007199679995,6.2250007199679995,2041.0,2037.0,15.3001,13.011,23.6013,27.3497,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,28888.1114,100534.8423,103.727,67458.598,3952.0028
40,40,40,0.44499999999999995,0,1,0,1,1,1,0,-28066.3425,0,-56328.7245,-56328.7245,0.0,307102.9882,0,626053.7114,0.0,5.322857962774833,5.322857962774833,0.0,6.2250007199679995,6.2250007199679995,2041.0,2038.0,15.3001,13.5756,23.6013,27.6014,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,28747.5325,100534.8423,219.0624,76765.4426,3592.7298
41,41,45,0.42999999999999994,0,1,0,1,1,1,0,-28066.3425,0,-46597.4291,-46597.4291,0.0,307102.9882,0,626053.7114,0.0,5.445517888957999,5.445517888957999,0.0,6.2250007199679995,6.2250007199679995,2041.0,2040.0,15.3001,14.7204,23.6013,26.9796,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,29617.4477,100534.8423,425.2567,86949.3158,2969.1982
42,42,50,0.42999999999999994,0,1,0,1,1,1,0,-28066.3425,0,-35687.2906,-35687.2906,0.0,307102.9882,0,626053.7114,0.0,5.576563144971333,5.576563144971333,0.0,6.2250007199679995,6.2250007199679995,2041.0,2041.0,15.3001,15.3001,23.6013,26.3456,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,30412.598,100534.8423,885.4402,98844.861,2699.2711
43,43,55,0.4099999999999999,0,1,0,1,1,1,0,-28066.3425,0,-28242.9261,-28242.9261,0.0,307102.9882,0,626053.7114,0.0,5.431090271689332,5.431090271689332,0.0,6.2250007199679995,6.2250007199679995,2041.0,2042.0,15.3001,15.8835,23.6013,27.0513,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,29685.8616,100534.8423,1185.6944,105617.3551,2453.8828
44,44,60,0.4099999999999999,0,1,0,1,1,1,0,-28066.3425,0,-17900.0057,-17900.0057,0.0,307102.9882,0,626053.7114,0.0,5.533416232702665,5.533416232702665,0.0,6.2250007199679995,6.2250007199679995,2041.0,2043.0,15.3001,16.4703,23.6013,26.5511,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,30306.1878,100534.8423,1816.2501,116988.0771,2230.8025
45,45,20,0.48,0,1,0,1,1,0,0,-14160.511,0,-49892.3274,-49892.3274,0.0,145004.5882,0,300256.6281,0.0,1.4997450961440002,1.4997450961440002,0.0,2.7265589104320003,2.7265589104320003,2039.0,2029.0,14.7794,8.665,25.4424,46.2547,15801.3606,49225.7445,367.7555,53106.7004,1872.3508,7680.2027,49225.7445,0,11870.0155,4856.3959
46,46,25,0.48,0,1,0,1,1,0,0,-14160.511,0,-43954.7701,-43954.7701,0.0,145004.5882,0,300256.6281,0.0,2.039293175088,2.039293175088,0.0,2.7265589104320003,2.7265589104320003,2039.0,2032.0,14.7794,10.4072,25.4424,34.0168,15801.3606,49225.7445,367.7555,53106.7004,1872.3508,10977.8744,49225.7445,0,19897.5309,3648.6821
47,47,30,0.48,0,1,0,1,1,0,0,-14160.511,0,-38357.4274,-38357.4274,0.0,145004.5882,0,300256.6281,0.0,2.175579351248,2.175579351248,0.0,2.7265589104320003,2.7265589104320003,2039.0,2033.0,14.7794,11.014,25.4424,31.8858,15801.3606,49225.7445,367.7555,53106.7004,1872.3508,11882.1998,49225.7445,0,26067.5006,3316.9837
48,48,35,0.46499999999999997,0,1,0,1,1,0,0,-14160.511,0,-32837.226,-32837.226,0.0,145004.5882,0,300256.6281,0.0,2.3276923630665,2.3276923630665,0.0,2.7265589104320003,2.7265589104320003,2039.0,2035.0,14.7794,12.2505,25.4424,29.8021,15801.3606,49225.7445,367.7555,53106.7004,1872.3508,13030.3184,49225.7445,0,32160.1457,2741.3089
49,49,40,0.44499999999999995,0,1,0,1,1,0,0,-14160.511,0,-28138.2428,-28138.2428,0.0,145004.5882,0,300256.6281,0.0,2.3161750682855,2.3161750682855,0.0,2.7265589104320003,2.7265589104320003,2039.0,2036.0,14.7794,12.8775,25.4424,29.9503,15801.3606,49225.7445,367.7555,53106.7004,1872.3508,13099.4643,49225.7445,49.8923,36728.9572,2492.099
50,50,45,0.42999999999999994,0,1,0,1,1,0,0,-14160.511,0,-23364.0347,-23364.0347,0.0,145004.5882,0,300256.6281,0.0,2.3820908465353337,2.3820908465353337,0.0,2.7265589104320003,2.7265589104320003,2039.0,2038.0,14.7794,14.1434,25.4424,29.1216,15801.3606,49225.7445,367.7555,53106.7004,1872.3508,13706.4626,49225.7445,165.532,41793.2903,2059.5859
51,51,50,0.42999999999999994,0,1,0,1,1,0,0,-14160.511,0,-17959.8161,-17959.8161,0.0,145004.5882,0,300256.6281,0.0,2.4425423572620004,2.4425423572620004,0.0,2.7265589104320003,2.7265589104320003,2039.0,2039.0,14.7794,14.7794,25.4424,28.4008,15801.3606,49225.7445,367.7555,53106.7004,1872.3508,14155.3855,49225.7445,281.0877,47574.7524,1872.3508
52,52,55,0.4099999999999999,0,1,0,1,1,0,0,-14160.511,0,-14280.8641,-14280.8641,0.0,145004.5882,0,300256.6281,0.0,2.3813150293339995,2.3813150293339995,0.0,2.7265589104320003,2.7265589104320003,2039.0,2040.0,14.7794,15.4186,25.4424,29.131,15801.3606,49225.7445,367.7555,53106.7004,1872.3508,13886.1153,49225.7445,355.5797,50888.7125,1702.1371
53,53,60,0.4099999999999999,0,1,0,1,1,0,0,-14160.511,0,-9223.8869,-9223.8869,0.0,145004.5882,0,300256.6281,0.0,2.4288444579573327,2.4288444579573327,0.0,2.7265589104320003,2.7265589104320003,2039.0,2041.0,14.7794,16.0615,25.4424,28.561,15801.3606,49225.7445,367.7555,53106.7004,1872.3508,14239.5541,49225.7445,630.7255,56419.5346,1547.3974
54,54,20,0.48,0,1,0,1,0,1,0,-13689.6808,0,-50975.7851,-50975.7851,0.0,162098.4,0,329986.0584,0.0,1.8877990754560001,1.8877990754560001,0.0,3.464589090256,3.464589090256,2042.0,2031.0,15.1957,9.8574,22.383,41.0785,17708.9015,51309.0979,558.0593,56933.5358,1047.1579,9667.7071,51309.0979,0,12988.6835,2987.6637
55,55,25,0.48,0,1,0,1,0,1,0,-13689.6808,0,-45097.0958,-45097.0958,0.0,162098.4,0,329986.0584,0.0,2.5091835464,2.5091835464,0.0,3.464589090256,3.464589090256,2042.0,2034.0,15.1957,11.1353,22.383,30.9056,17708.9015,51309.0979,558.0593,56933.5358,1047.1579,12758.7252,51309.0979,0,21215.4032,2244.6759
56,56,30,0.48,0,1,0,1,0,1,0,-13689.6808,0,-38966.8444,-38966.8444,0.0,162098.4,0,329986.0584,0.0,2.826863580784,2.826863580784,0.0,3.464589090256,3.464589090256,2042.0,2036.0,15.1957,12.0816,22.383,27.4325,17708.9015,51309.0979,558.0593,56933.5358,1047.1579,14377.0905,51309.0979,0,28574.4481,1855.1041
57,57,35,0.46499999999999997,0,1,0,1,0,1,0,-13689.6808,0,-33235.3238,-33235.3238,0.0,162098.4,0,329986.0584,0.0,2.9861055721845,2.9861055721845,0.0,3.464589090256,3.464589090256,2042.0,2038.0,15.1957,13.0857,22.383,25.9696,17708.9015,51309.0979,558.0593,56933.5358,1047.1579,15217.4516,51309.0979,0.9853,34825.3548,1533.1439
58,58,40,0.44499999999999995,0,1,0,1,0,1,0,-13689.6808,0,-28174.3305,-28174.3305,0.0,162098.4,0,329986.0584,0.0,3.050879795674,3.050879795674,0.0,3.464589090256,3.464589090256,2042.0,2040.0,15.1957,14.1289,22.383,25.4182,17708.9015,51309.0979,558.0593,56933.5358,1047.1579,15579.0991,51309.0979,127.6019,40108.5294,1267.0611
59,59,45,0.42999999999999994,0,1,0,1,0,1,0,-13689.6808,0,-23309.3945,-23309.3945,0.0,162098.4,0,329986.0584,0.0,3.029238469552667,3.029238469552667,0.0,3.464589090256,3.464589090256,2042.0,2041.0,15.1957,14.6598,22.383,25.5998,17708.9015,51309.0979,558.0593,56933.5358,1047.1579,15478.4315,51309.0979,234.5835,44864.592,1151.8737
60,60,50,0.42999999999999994,0,1,0,1,0,1,0,-13689.6808,0,-17575.9926,-17575.9926,0.0,162098.4,0,329986.0584,0.0,3.1036943933543335,3.1036943933543335,0.0,3.464589090256,3.464589090256,2042.0,2042.0,15.1957,15.1957,22.383,24.9857,17708.9015,51309.0979,558.0593,56933.5358,1047.1579,15864.2243,51309.0979,358.4717,51002.9591,1047.1579
61,61,55,0.4099999999999999,0,1,0,1,0,1,0,-13689.6808,0,-13776.0029,-13776.0029,0.0,162098.4,0,329986.0584,0.0,3.0231420069136665,3.0231420069136665,0.0,3.464589090256,3.464589090256,2042.0,2043.0,15.1957,15.7362,22.383,25.6514,17708.9015,51309.0979,558.0593,56933.5358,1047.1579,15457.8295,51309.0979,549.7417,54492.6279,951.9617
62,62,60,0.4099999999999999,0,1,0,1,0,1,0,-13689.6808,0,-8428.3042,-8428.3042,0.0,162098.4,0,329986.0584,0.0,3.0786923131516666,3.0786923131516666,0.0,3.464589090256,3.464589090256,2042.0,2044.0,15.1957,16.2833,22.383,25.1886,17708.9015,51309.0979,558.0593,56933.5358,1047.1579,15753.9378,51309.0979,844.5507,60344.7019,865.4197
63,63,20,0.48,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,25,0.48,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,30,0.48,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,35,0.46499999999999997,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
