,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,PP,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
33,33,50,2.5,700,364,0.42999999999999994,0,177774.6764,0,141309.6368,141309.6368,3.0222399236780815,316409.8722,0,540862.4112,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.7197,87983.0654,69598.4534,84662.5488,420018.744,0,78818.1627,69598.4534,69032.2174,358758.4703,0
34,34,55,2.5,700,364,0.4099999999999999,0,177774.6764,0,159251.3434,159251.3434,3.3903969734799526,316409.8722,0,540862.4112,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.9499,87983.0654,69598.4534,84662.5488,420018.744,0,75152.2017,69598.4534,76713.5052,380715.5036,0
35,35,60,2.5,700,364,0.4099999999999999,0,177774.6764,0,186305.8692,186305.8692,3.9456352529710417,316409.8722,0,540862.4112,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.9499,87983.0654,69598.4534,84662.5488,420018.744,0,75152.2017,69598.4534,88302.4532,419358.9774,0
36,36,20,2.5,700,424,0.48,0,173867.5249,0,-34128.9107,-34128.9107,0.0,316409.8722,0,575031.5113,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.0411,7.0411,4.228,4.228,93558.1887,69598.4534,82994.5771,420018.744,0,93558.1887,69598.4534,0,129027.7314,0
37,37,25,2.5,700,424,0.48,0,173867.5249,0,1145.4631,1145.4631,0.15966305518836738,316409.8722,0,575031.5113,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.0411,7.0411,4.228,4.228,93558.1887,69598.4534,82994.5771,420018.744,0,93558.1887,69598.4534,9966.7662,174268.8714,0
38,38,30,2.5,700,424,0.48,0,173867.5249,0,33396.1648,33396.1648,0.8096981141047678,316409.8722,0,575031.5113,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.0411,7.0411,4.228,4.228,93558.1887,69598.4534,82994.5771,420018.744,0,93558.1887,69598.4534,22957.2045,219510.0114,0
39,39,35,2.5,700,424,0.46499999999999997,0,173867.5249,0,61379.4274,61379.4274,1.3828663077817502,316409.8722,0,575031.5113,0.0,34.608151962955795,34.608151962955795,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.0411,7.0411,4.228,4.3644,93558.1887,69598.4534,82994.5771,420018.744,0,90634.4953,69598.4534,34865.3019,256477.678,0
40,40,40,2.5,700,424,0.44499999999999995,0,173867.5249,0,85783.4531,85783.4531,1.8830138233329388,316409.8722,0,575031.5113,0.0,33.119629297882426,33.119629297882426,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.0411,7.0411,4.228,4.5606,93558.1887,69598.4534,82994.5771,420018.744,0,86736.2374,69598.4534,45270.543,287388.6869,0
41,41,45,2.5,700,424,0.42999999999999994,0,173867.5249,0,109435.2215,109435.2215,2.3681564361149916,316409.8722,0,575031.5113,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.0411,7.0411,4.228,4.7197,93558.1887,69598.4534,82994.5771,420018.744,0,83812.544,69598.4534,55383.7302,318229.9491,0
42,42,50,2.5,700,424,0.42999999999999994,0,173867.5249,0,137809.4802,137809.4802,2.9504795097276,316409.8722,0,575031.5113,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.0411,7.0411,4.228,4.7197,93558.1887,69598.4534,82994.5771,420018.744,0,83812.544,69598.4534,67537.9927,358758.4703,0
43,43,55,2.5,700,424,0.4099999999999999,0,173867.5249,0,155913.9847,155913.9847,3.3219742532015846,316409.8722,0,575031.5113,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.0411,7.0411,4.228,4.9499,93558.1887,69598.4534,82994.5771,420018.744,0,79914.2862,69598.4534,75288.7793,380715.5036,0
44,44,60,2.5,700,424,0.4099999999999999,0,173867.5249,0,182968.5105,182968.5105,3.877212532692675,316409.8722,0,575031.5113,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.0411,7.0411,4.228,4.9499,93558.1887,69598.4534,82994.5771,420018.744,0,79914.2862,69598.4534,86877.7273,419358.9774,0
45,45,20,2.5,700,484,0.48,0,169960.3733,0,-39704.034,-39704.034,0.0,316409.8722,0,609200.6113,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.4626,7.4626,4.228,4.228,99133.312,69598.4534,81326.6053,420018.744,0,99133.312,69598.4534,0,129027.7314,0
46,46,25,2.5,700,484,0.48,0,169960.3733,0,-3012.737,-3012.737,0.07955840705759734,316409.8722,0,609200.6113,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.4626,7.4626,4.228,4.228,99133.312,69598.4534,81326.6053,420018.744,0,99133.312,69598.4534,8549.8431,174268.8714,0
47,47,30,2.5,700,484,0.48,0,169960.3733,0,29447.0816,29447.0816,0.7295934659739979,316409.8722,0,609200.6113,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.4626,7.4626,4.228,4.228,99133.312,69598.4534,81326.6053,420018.744,0,99133.312,69598.4534,21331.1645,219510.0114,0
48,48,35,2.5,700,484,0.46499999999999997,0,169960.3733,0,57582.2907,57582.2907,1.3052649299050667,316409.8722,0,609200.6113,0.0,34.608151962955795,34.608151962955795,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.4626,7.4626,4.228,4.3644,99133.312,69598.4534,81326.6053,420018.744,0,96035.396,69598.4534,33261.5379,256477.678,0
49,49,40,2.5,700,484,0.44499999999999995,0,169960.3733,0,82149.6341,82149.6341,1.8087501391283711,316409.8722,0,609200.6113,0.0,33.119629297882426,33.119629297882426,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.4626,7.4626,4.228,4.5606,99133.312,69598.4534,81326.6053,420018.744,0,91904.8413,69598.4534,43735.7581,287388.6869,0
50,50,45,2.5,700,484,0.42999999999999994,0,169960.3733,0,105935.0649,105935.0649,2.29639602216451,316409.8722,0,609200.6113,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.4626,7.4626,4.228,4.7197,99133.312,69598.4534,81326.6053,420018.744,0,88806.9253,69598.4534,53889.5055,318229.9491,0
51,51,50,2.5,700,484,0.42999999999999994,0,169960.3733,0,134309.3236,134309.3236,2.878719095777118,316409.8722,0,609200.6113,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.4626,7.4626,4.228,4.7197,99133.312,69598.4534,81326.6053,420018.744,0,88806.9253,69598.4534,66043.768,358758.4703,0
52,52,55,2.5,700,484,0.4099999999999999,0,169960.3733,0,152576.6261,152576.6261,3.2535515329232196,316409.8722,0,609200.6113,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.4626,7.4626,4.228,4.9499,99133.312,69598.4534,81326.6053,420018.744,0,84676.3706,69598.4534,73864.0535,380715.5036,0
53,53,60,2.5,700,484,0.4099999999999999,0,169960.3733,0,179631.1519,179631.1519,3.80878981241431,316409.8722,0,609200.6113,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.4626,7.4626,4.228,4.9499,99133.312,69598.4534,81326.6053,420018.744,0,84676.3706,69598.4534,85453.0014,419358.9774,0
54,54,20,2.5,1200,184,0.48,0,172910.9903,0,-35492.1466,-35492.1466,0.0,316409.8722,0,581685.1071,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.1232,7.1232,4.228,4.228,94921.4245,69598.4534,82587.8758,420018.744,0,94921.4245,69598.4534,0,129027.7314,0
55,55,25,2.5,1200,184,0.48,0,172910.9903,0,106.7505,106.7505,0.14007577026588627,316409.8722,0,581685.1071,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.1232,7.1232,4.228,4.228,94921.4245,69598.4534,82587.8758,420018.744,0,94921.4245,69598.4534,9642.2429,174268.8714,0
56,56,30,2.5,1200,184,0.48,0,172910.9903,0,32419.4982,32419.4982,0.7901108291822864,316409.8722,0,581685.1071,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.1232,7.1232,4.228,4.228,94921.4245,69598.4534,82587.8758,420018.744,0,94921.4245,69598.4534,22570.6352,219510.0114,0
57,57,35,2.5,1200,184,0.46499999999999997,0,172910.9903,0,60447.4589,60447.4589,1.3638911255130963,316409.8722,0,581685.1071,0.0,34.608151962955795,34.608151962955795,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.1232,7.1232,4.228,4.3644,94921.4245,69598.4534,82587.8758,420018.744,0,91955.13,69598.4534,34476.6356,256477.678,0
58,58,40,2.5,1200,184,0.44499999999999995,0,172910.9903,0,84891.5693,84891.5693,1.8648547779360554,316409.8722,0,581685.1071,0.0,33.119629297882426,33.119629297882426,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.1232,7.1232,4.228,4.5606,94921.4245,69598.4534,82587.8758,420018.744,0,88000.0707,69598.4534,44898.5936,287388.6869,0
59,59,45,2.5,1200,184,0.42999999999999994,0,172910.9903,0,108578.3259,108578.3259,2.3506094933719353,316409.8722,0,581685.1071,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.1232,7.1232,4.228,4.7197,94921.4245,69598.4534,82587.8758,420018.744,0,85033.7761,69598.4534,55019.3936,318229.9491,0
60,60,50,2.5,1200,184,0.42999999999999994,0,172910.9903,0,136952.5847,136952.5847,2.9329325669845447,316409.8722,0,581685.1071,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,7.1232,7.1232,4.228,4.7197,94921.4245,69598.4534,82587.8758,420018.744,0,85033.7761,69598.4534,67173.6561,358758.4703,0
